F14;Final;Bainha com fenda 2x;2AG;1,9398
P51;Preparação;Fixado fenda da bainha 2x;2AG;0,616344
P50;Preparação;Chuleado unir dianteiro elastico;OV;0,628706666666667
P49;Preparação;Revel;2AG;0,595766666666667
P48;Preparação;Fixar cós na reta;RT;0,7852
P47;Preparação;Rebater laterais do bolso fole ESP 2x;2AG;1,342
P46;Preparação;Rebater portiola quadrada 2x;2AG;0,497963333333333
T18;Traseiro;Pranchar bolso 2 cantos 2x;MAN;0,54372
P45;Preparação;Rebatimento e fixado do ilhete 2x;2AG;1,2932
P44;Preparação;União de botão 1x;2AG;0,32391
T13;Traseiro;Pranchar portiola T4 2x;MAN;0,812475
M16;Montagem;Rebatimento do entre perna;BP;0,465
T17;Traseiro;Pregar Bolso Trazeiro 3 cantos 2x;2AG;0,813333333333333
T16;Traseiro;Pregar Bolso Lateral GRANDE 4 cantos com portiola 2x;2AG;1,952
T15;Traseiro;Pregar Bolso Trazeiro 4 cantos 2x;2AG;0,69
T14;Traseiro;Pranchar bolso fole 2x;MAN;0,86
M15;Montagem;Pregar bolso lateral com portiola 2x + bolsinho lateral 1x;2AG;1,7568
P43;Preparação;Zig zag reforço 2x na filigrama;FIL;0,57
P42;Preparação;Zig zag reforço 2x;RT;1,284
M14;Montagem;Interlocar pernas ;INT;0,31
M13;Montagem;Pregar detalhe do bolsinho lateral 1x;2AG;0,77409
P41;Preparação;Passar vies detalhe do bolso lateral 1x;2AG;0,509146666666667
T12;Traseiro;Pregar portiola traseira 2x;2AG;0,268196666666667
T11;Traseiro;Pranchar Portiola ibama 2x;MAN;0,42
P40;Preparação;Virar portiola 2x;MAN;0,502166666666667
P39;Preparação;Fixar portiolola ibama 2x;2AG;0,74298
D16;Dianteiro;Pranchar Reforço 2x;MAN;0,510216666666667
T10;Traseiro;Pranchar lapela;MAN;0,613333333333333
P38;Preparação;Chulear portiola;OV;0,162666666666667
M12;Montagem;Fixado Elastico;12AG;0,5625
P37;Preparação;Cortar e Abrir ponta de cinto 1x;MAN;0,19
P36;Preparação;Fazer cinto 1x;COS;0,13
P35;Preparação;Unir cinto 1x;OV;0,2
P34;Preparação;Casar cinto 1x;MAN;0,1
P33;Preparação;Fixar o reforço;RT;0,6
P32;Preparação;Zig zag joelho com esponja 2X ;2AG;3,05
M11;Montagem;Pregar bolso fole 2X;2AG;1,43
D15;Dianteiro;Pranchar seta 2x;MAN;0,325833333333333
D14;Dianteiro;Costurinha;RT;0,42
D13;Dianteiro;Pranchar bolso dianteiro 2x;MAN;0,43
P31;Preparação;Ponta cinto;2AG;0,63
